State,Year,EVs_per_1000_forecast_panel_baseline,Outlets_per_100k_proj
Alabama,2024,7.09783691811033,112.88512904448443
Alabama,2025,25.535785632057546,595.0253193178468
Alabama,2026,120.92254466984292,3136.4195942034457
Alabama,2027,621.9118026517297,16532.284512163045
Alabama,2028,3260.8598732175533,87142.8145954177
Alaska,2024,7.116342698498238,88.74456185691449
Alaska,2025,21.7014951446774,467.7787207544767
Alaska,2026,96.77989869843891,2465.693976195406
Alaska,2027,490.72241093988606,12996.843410150204
Alaska,2028,2565.4196842103365,68507.26012990755
Arizona,2024,17.319005371923097,247.29428090436676
Arizona,2025,57.208441725575305,1303.5052509229308
Arizona,2026,265.66747512492293,6870.86629326756
Arizona,2027,1362.668508328952,36216.81123764917
Arizona,2028,7143.23585036674,190901.3158222483
Arkansas,2024,8.065612824738052,143.0478421815195
Arkansas,2025,31.31748275674035,754.0150655118237
Arkansas,2026,152.07875333727654,3974.465537881771
Arkansas,2027,786.8188158853684,20949.6826181945
Arkansas,2028,4130.776623957566,110427.22540173058
California,2024,42.8424549971901,664.7281848598344
California,2025,149.35368091789059,3503.8282172661543
California,2026,708.9807729110127,18468.920764506507
California,2027,3657.012920378523,97350.95816762447
California,2028,19194.49323363564,513143.63069702644
Colorado,2024,26.86215278988404,485.18560842249644
Colorado,2025,104.71866803090272,2557.446884489569
Colorado,2026,513.3047990359818,13480.479332952411
Colorado,2027,2665.1895991715987,71056.53851435766
Colorado,2028,14006.122204328603,374543.9268839846
Connecticut,2024,19.347200885555708,368.5239726068165
Connecticut,2025,78.58470392317416,1942.5153368982792
Connecticut,2026,389.0287344098995,10239.132633335887
Connecticut,2027,2023.5997378234952,53971.17597560254
Connecticut,2028,10637.735556835634,284485.79977427685
Delaware,2024,15.499789370630355,265.9888054133526
Delaware,2025,58.37284221084987,1402.0453820244434
Delaware,2026,282.5587243782235,7390.278136710589
Delaware,2027,1462.457064687872,38954.66697310541
Delaware,2028,7679.981843445897,205332.74268090987
District of Columbia,2024,38.46497534950292,888.0670624612146
District of Columbia,2025,180.62073221201027,4681.062881262349
District of Columbia,2026,928.1326110243559,24674.206064577655
District of Columbia,2027,4866.518458916116,130059.4459763079
District of Columbia,2028,25624.221593554175,685552.3311831309
Florida,2024,15.759149066938903,224.674719577763
Florida,2025,52.03853927790716,1184.2759794049068
Florida,2026,241.4687698846727,6242.400560380019
Florida,2027,1238.167668044584,32904.124911672865
Florida,2028,6490.035522044679,173439.91718100518
Georgia,2024,14.668077902517942,237.9129742207056
Georgia,2025,53.060272575941205,1254.0557348324246
Georgia,2026,253.62724156950563,6610.214475345009
Georgia,2027,1309.0286576859937,34842.89748565244
Georgia,2028,6870.321542135485,183659.3214522469
Hawaii,2024,23.205976402731316,314.497040327124
Hawaii,2025,73.82086666456809,1657.7356417905255
Hawaii,2026,338.81450910025256,8738.03917265556
Hawaii,2027,1733.813374960341,46058.80856877374
Hawaii,2028,9085.147894509379,242779.16416461088
Idaho,2024,9.093118405235586,138.25337761585934
Idaho,2025,31.579799390309038,728.7431113289495
Idaho,2026,148.30770613152674,3841.255320249607
Idaho,2027,761.7876290427157,20247.52235179003
Idaho,2028,3993.681771304645,106726.09009483836
Illinois,2024,11.079312510752834,146.3460973072334
Illinois,2025,34.85757873409996,771.4003962988068
Illinois,2026,158.39352055784087,4066.1048183656912
Illinois,2027,807.7590670511149,21432.71960095345
Illinois,2028,4228.80881210671,112973.34673180596
Indiana,2024,8.00409005072909,117.4476035614435
Indiana,2025,27.170202467465273,619.0744379157738
Indiana,2026,126.39516272302957,3263.184160928663
Indiana,2027,647.615844671443,17200.469307027717
Indiana,2028,3393.2051496304475,90664.8628429863
Iowa,2024,8.16719649084476,140.03058988039746
Iowa,2025,30.93751773700411,738.1109200399238
Iowa,2026,149.1605119034001,3890.633687592922
Iowa,2027,770.5211439930695,20507.799139747385
Iowa,2028,4043.955049154401,108098.02703796148
Kansas,2024,10.868747101668033,213.59304365432106
Kansas,2025,45.379519396300175,1125.863699499336
Kansas,2026,225.48724269561995,5934.505394762596
Kansas,2027,1173.0465603420525,31281.188207886727
Kansas,2028,6165.896288272987,164885.30561633705
Kentucky,2024,6.632322696456532,98.3418145142194
Kentucky,2025,22.749181458050295,518.3665030011226
Kentucky,2026,105.90131489231345,2732.3456737190927
Kentucky,2027,542.4010154976804,14402.382942316153
Kentucky,2028,2841.4201707543075,75915.95617357624
Louisiana,2024,5.651285575595679,81.45445036765501
Louisiana,2025,19.072947780671715,429.35203910493954
Louisiana,2026,88.01851383762913,2263.144280656406
Louisiana,2027,449.6344156499709,11929.189962030103
Louisiana,2028,2353.9358905025265,62879.58499443316
Maine,2024,18.73325809932193,408.2345779236201
Maine,2025,84.30851081641642,2151.8326828493537
Maine,2026,428.15925801337147,11342.458834648209
Maine,2027,2238.819374724008,59786.8846593292
Maine,2028,11781.133083550832,315140.8023054814
Maryland,2024,22.574656520086773,425.7848673145067
Maryland,2025,90.95090761216038,2244.341471538586
Maryland,2026,449.56591088596264,11830.07905526935
Maryland,2027,2338.049442079782,62357.16455303066
Maryland,2028,12290.575748838908,328688.92531717836
Massachusetts,2024,25.57532926376193,524.5284294376684
Massachusetts,2025,109.71089639254114,2764.8256139605915
Massachusetts,2026,551.3943439897438,14573.586952775371
Massachusetts,2027,2877.737388010006,76818.38434860937
Massachusetts,2028,15138.25145756153,404915.0146118888
Michigan,2024,10.460909123741324,175.22562661585135
Michigan,2025,38.84830245957954,923.6263918224317
Michigan,2026,186.6792719375459,4868.498564660015
Michigan,2027,964.105588792297,25662.192509818866
Michigan,2028,5060.1725076901575,135267.19083196283
Minnesota,2024,11.583121952986835,182.78628860708886
Minnesota,2025,41.177184961304604,963.479163871951
Minnesota,2026,195.36859370399793,5078.565281287693
Minnesota,2027,1006.3212256414427,26769.46869577405
Minnesota,2028,5279.107669125835,141103.7201578176
Mississippi,2024,5.870593715659749,98.68125588522673
Mississippi,2025,22.041626782156197,520.1557219344131
Mississippi,2026,105.47931672281125,2741.7767704111216
Mississippi,2027,543.4842054148409,14452.094904982916
Mississippi,2028,2850.4373111349246,76177.99136554604
Missouri,2024,11.712021516810877,229.50406984265888
Missouri,2025,48.76216837702291,1209.7318185202168
Missouri,2026,242.25511056692264,6376.580048203628
Missouri,2027,1260.3688423502967,33611.39426826532
Missouri,2028,6625.115764858327,177167.98285548665
Montana,2024,9.646412066266034,161.67751752086934
Montana,2025,35.871548660127694,852.2133721569456
Montana,2026,172.30511336713647,4492.075600983705
Montana,2027,889.6549217336764,23678.041044909765
Montana,2028,4669.05441110136,124808.5912894379
Nebraska,2024,8.777982916637676,146.90000421871525
Nebraska,2025,32.64465180528535,774.3200779226544
Nebraska,2026,156.6465701893957,4081.4946620522924
Nebraska,2027,808.4683113468863,21513.840530976595
Nebraska,2028,4242.464828282473,113400.94076211762
Nevada,2024,21.116093079428094,325.8379457428346
Nevada,2025,73.54097387376812,1717.5143382712417
Nevada,2026,348.07520153694185,9053.136814505497
Nevada,2027,1793.3631517035103,47719.71002271259
Nevada,2028,9409.774911283639,251533.89055196338
New Hampshire,2024,13.450504888587226,224.4209468552836
