State,Year,EVs_per_1000_forecast_panel_acc,Outlets_per_100k_proj
Alabama,2024,7.177862712723931,115.0267273841986
Alabama,2025,26.387431203234428,617.816504960715
Alabama,2026,127.72024217631417,3318.335159853531
Alabama,2027,670.1426659761264,17823.007551118008
Alabama,2028,3581.6878942600924,95728.60572083708
Alaska,2024,7.179254918560816,90.42817782954215
Alaska,2025,22.37101568924527,485.6959947231223
Alaska,2026,102.12390363473051,2608.7067654371826
Alaska,2027,528.6390689614898,14011.544385737032
Alaska,2028,2817.6383989324618,75256.97356045224
Arizona,2024,17.494315632010355,251.98582022303907
Arizona,2025,59.07411775298706,1353.4332610356712
Arizona,2026,280.5590000839438,7269.383612364756
Arizona,2027,1468.3265056591702,39044.36193867449
Arizona,2028,7846.06478301048,209709.9672392032
Arkansas,2024,8.16702137460847,145.76167192958943
Arkansas,2025,32.396686565882405,782.8960169229343
Arkansas,2026,160.69278397474176,4204.988631098244
Arkansas,2027,847.9368832827838,22585.284642476385
Arkansas,2028,4537.329342725483,121307.12521057515
California,2024,43.31368979707686,677.3390645133983
California,2025,154.3686268143447,3638.0349422034765
California,2026,749.0092617203954,19540.13718402868
California,2027,3941.0221118745535,104951.42769008211
California,2028,21083.700695105075,563701.3737646423
Colorado,2024,27.20610742923955,494.3902990867677
Colorado,2025,108.37908086038135,2655.4044752404952
Colorado,2026,542.5216235058342,14262.361013458596
Colorado,2027,2872.488124361468,76604.12700773233
Colorado,2028,15385.056169378764,411446.0620565767
Connecticut,2024,19.60845251357485,375.5154189962573
Connecticut,2025,81.36497987094252,2016.9192760585863
Connecticut,2026,411.22044833066815,10833.012868047468
Connecticut,2027,2181.0538640225172,58184.8610364876
Connecticut,2028,11685.108384762227,312514.91113991156
Delaware,2024,15.688352431962727,271.0350075914208
Delaware,2025,60.37955638153258,1455.7477633249205
Delaware,2026,298.5759930354184,7818.921877502103
Delaware,2027,1576.1024122044214,41995.96995213493
Delaware,2028,8435.942019800095,225563.2579339767
District of Columbia,2024,39.0945381001078,904.9150118999072
District of Columbia,2025,187.32062605148244,4860.36108869846
District of Columbia,2026,981.6100823898973,26105.335420324576
District of Columbia,2027,5245.950554844239,140213.56129121396
District of Columbia,2028,28148.17493102359,753096.7311248811
Florida,2024,15.918424014099696,228.93713226662894
Florida,2025,53.73356528800641,1229.6371645893457
Florida,2026,254.99819394582644,6604.466219915712
Florida,2027,1334.1613191492575,35473.04465588016
Florida,2028,7128.577961341674,190528.17521627469
Georgia,2024,14.836737627426404,242.4265362363608
Georgia,2025,54.8551726884329,1302.089685878131
Georgia,2026,267.9538445977924,6993.613720641513
Georgia,2027,1410.6784342320059,37563.182785339275
Georgia,2028,7546.488096097564,201754.4516077992
Hawaii,2024,23.42892760780888,320.4635156734397
Hawaii,2025,76.19354421572086,1721.2316973905815
Hawaii,2026,357.7528383994274,9244.854441155994
Hawaii,2027,1868.1841631796412,49654.75233098004
Hawaii,2028,9978.972120303775,266699.1075678488
Idaho,2024,9.19112809433611,140.87624925952215
Idaho,2025,32.62283205318877,756.6560740164874
Idaho,2026,156.63302451699988,4064.0520836932037
Idaho,2027,820.8572320663261,21828.30470295171
Idaho,2028,4386.608261431293,117241.33362284757
Illinois,2024,11.183059238286758,149.1224998473174
Illinois,2025,35.961665753229035,800.9472560142617
Illinois,2026,167.2061649616503,4301.943084199951
Illinois,2027,870.2863341679604,23106.033712869415
Illinois,2028,4644.735419834433,124104.10446877111
Indiana,2024,8.087350245229668,119.67575881023163
Indiana,2025,28.056268969449114,642.7867741529412
Indiana,2026,133.4676025441865,3452.452201962726
Indiana,2027,697.7960531993322,18543.35945624362
Indiana,2028,3727.0000661597796,99597.66560358946
Iowa,2024,8.266466069754248,142.6871778768454
Iowa,2025,31.99395832143159,766.382696815648
Iowa,2026,157.59285015483238,4116.294447181275
Iowa,2027,830.3500718502954,22108.90204893446
Iowa,2028,4441.9325101098075,118748.44136674858
Kansas,2024,11.02016609890052,217.64522051354518
Kansas,2025,46.99094130104646,1168.9875259161224
Kansas,2026,238.3493522802794,6278.712817690617
Kansas,2027,1264.305497482248,33723.40061211319
Kansas,2028,6772.943771711344,181130.71609849113
Kentucky,2024,6.702038538718982,100.20750460529538
Kentucky,2025,23.491107090783785,538.221434913074
Kentucky,2026,111.82324555726166,2890.8245359557664
Kentucky,2027,584.4181585443911,15526.818434932002
Kentucky,2028,3120.914998845404,83395.61523461247
Louisiana,2024,5.709029737033601,82.99976211195887
Louisiana,2025,19.687469130786162,445.7974603529008
Louisiana,2026,92.92352407982851,2394.40897901636
Louisiana,2027,484.4363288523563,12860.536159752173
Louisiana,2028,2585.435560456966,69074.82880566124
Maine,2024,19.022661112487768,415.97939339839013
Maine,2025,87.38837769731364,2234.2540799815542
Maine,2026,452.7422584129475,12000.33312499547
Maine,2027,2413.240100454568,64454.618837286594
Maine,2028,12941.36643638475,346190.21373720973
Maryland,2024,22.876501170748117,433.86263781124615
Maryland,2025,94.16318011954831,2330.3062220511606
Maryland,2026,475.20575162793006,12516.235820455327
Maryland,2027,2519.968636528767,67225.56788067045
Maryland,2028,13500.688343178434,361073.1726141466
Massachusetts,2024,25.947174560998864,534.4795117735349
Massachusetts,2025,113.66812545954184,2870.7264080817113
Massachusetts,2026,582.9803077658639,15418.870000670036
Massachusetts,2027,3101.8453746341725,82815.81673135722
Massachusetts,2028,16629.00067689159,444809.47699693346
Michigan,2024,10.585128940162623,178.54991666372828
Michigan,2025,40.17026692139344,959.0039461503895
Michigan,2026,197.2309789267548,5150.876493905698
